Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation
1,17,1,9500,1,1,141.0,1,38,38,7,10
1,1,3,171,1,1,125.0,1,38,37,4,9
1,1,2,9500,1,1,125.0,1,19,19,9,9
1,44,1,9238,1,39,130.0,1,19,1,9,9
1,17,3,171,1,1,133.0,1,1,37,4,7
1,17,1,9070,1,1,127.0,1,1,1,3,4
1,43,1,9070,1,1,116.0,1,1,1,3,3
4,42,1,9500,1,19,133.1,1,1,1,5,5
1,1,3,171,1,1,139.0,1,19,19,5,3
1,44,1,9003,1,39,130.0,1,19,37,9,9
1,1,3,9147,1,1,125.0,1,1,38,7,7
1,39,1,9254,1,1,160.0,1,19,37,7,10
1,17,1,9147,1,1,148.0,1,38,37,5,5
1,17,1,9500,1,1,150.0,1,37,19,8,4
1,1,1,171,1,1,141.0,1,19,19,5,10
1,17,4,9254,1,1,118.0,1,38,37,5,7
1,1,2,9773,1,1,142.0,1,38,38,9,9
1,17,3,9147,1,1,120.0,1,19,19,4,7
1,18,4,9254,1,1,106.0,1,19,37,7,7
1,17,4,9773,1,1,121.0,1,1,19,9,8
1,17,4,9500,1,1,150.0,1,38,37,9,9
2,39,1,8014,0,1,120.0,1,37,37,9,6
1,1,6,9853,1,1,114.0,1,19,19,9,9
1,39,1,9991,0,2,140.0,1,3,3,2,2
1,39,1,9003,1,4,160.0,1,3,3,4,2
1,17,1,9254,1,1,120.0,1,19,19,4,4
2,39,1,8014,0,1,130.0,1,37,37,9,6
1,42,1,9500,1,1,160.0,1,37,38,9,7
1,39,1,9670,1,1,120.0,1,1,19,4,5
1,17,1,9070,1,1,124.0,1,19,38,4,0
1,1,6,9147,1,1,143.0,1,38,37,9,9
1,43,2,9119,1,1,115.0,1,38,19,9,6
1,39,1,9500,1,1,133.1,1,1,1,4,10
1,17,2,9773,1,1,133.1,41,19,1,9,9
1,15,1,9130,1,1,133.1,41,1,1,4,4
2,39,1,9853,1,10,133.1,1,37,34,0,0
2,39,1,8014,0,1,133.1,1,37,19,9,9
1,15,1,9119,1,1,130.0,26,38,3,9,2
1,1,5,9773,1,1,135.0,1,37,1,5,5
1,1,5,9500,1,1,132.0,1,37,37,7,7
1,1,1,9085,1,1,135.0,1,1,2,9,1
1,1,4,9500,1,1,115.0,1,3,3,2,2
1,53,1,9085,1,42,130.0,1,38,38,9,9
1,1,4,171,1,1,133.1,1,1,1,9,10
2,39,1,8014,0,1,130.0,1,37,37,6,5
4,39,1,9003,1,12,133.1,1,37,37,9,6
1,18,1,9853,1,1,123.0,1,19,19,9,7
1,51,1,9070,1,1,130.0,1,3,1,2,8
1,1,2,9238,1,1,122.0,1,37,38,4,7
1,1,1,9085,1,1,113.0,1,1,1,4,4
1,1,5,9500,1,1,111.0,1,3,4,4,3
1,17,2,9853,1,1,133.1,1,19,1,9,3
1,1,1,9238,1,1,142.0,1,37,37,6,7
1,17,2,9147,1,1,123.0,1,1,38,4,7
1,1,1,9085,1,1,131.0,1,19,19,9,9
1,1,3,9773,1,1,158.0,1,1,38,4,7
1,17,2,9500,1,1,122.0,1,37,37,9,9
1,43,1,9500,1,1,130.0,1,38,38,9,5
1,17,1,9238,1,1,154.0,1,19,37,9,7
1,17,1,9147,1,1,120.0,1,19,19,3,3
1,1,2,9085,1,1,140.0,1,37,38,9,7
1,1,1,9147,1,1,127.0,1,2,19,4,5
1,17,1,9254,1,1,133.1,1,1,1,4,5
1,1,2,9147,1,1,120.0,1,19,19,9,7
1,1,1,171,1,1,137.0,1,3,19,2,9
1,1,1,9670,1,1,131.0,1,38,38,9,9
1,1,1,9085,1,1,130.0,1,19,38,4,7
1,17,6,9556,1,1,122.0,1,1,1,4,5
1,44,1,9085,1,39,160.0,1,37,37,9,9
1,1,1,9853,1,1,146.0,1,19,38,9,3
1,17,3,9238,1,1,131.0,1,1,39,5,3
1,17,6,9500,1,1,132.0,1,1,37,8,9
1,1,3,9500,1,1,138.0,1,19,19,5,8
1,17,2,9070,1,1,130.0,1,37,37,9,9
1,1,4,9147,1,1,126.0,1,1,19,4,8
1,17,6,9500,1,1,148.0,1,1,19,3,3
1,43,1,9238,1,1,130.0,1,38,37,9,7
1,1,1,9670,1,1,117.0,1,1,38,3,9
1,17,1,9670,1,1,120.0,1,19,19,5,5
1,1,1,9773,1,1,153.0,1,1,1,141,175
1,1,2,9500,1,1,117.0,1,19,1,4,7
1,18,1,9500,1,1,178.0,1,19,1,4,8
1,1,5,9500,1,1,129.0,1,37,37,9,9
1,1,6,9773,1,1,116.0,1,19,1,4,4
1,51,1,9147,1,1,99.0,1,3,1,3,3
1,1,3,9238,1,1,135.0,1,1,12,9,10
1,1,3,9500,1,1,141.0,1,19,19,9,7
1,17,5,9853,1,1,132.0,1,37,38,5,6
1,1,4,9254,1,1,132.0,1,12,19,9,9
1,17,1,9254,1,1,113.0,1,1,37,9,10
1,1,1,9147,1,1,134.0,1,3,19,2,10
1,1,1,9500,1,1,136.0,1,1,19,9,9
1,1,1,171,1,1,136.0,1,3,37,2,8
1,1,1,9085,1,1,129.0,1,1,38,4,7
1,17,1,9853,1,1,138.0,1,38,38,7,6
1,1,1,9853,1,1,137.0,1,37,37,9,9
1,43,1,9853,1,1,115.0,1,3,37,2,5
1,1,1,9853,1,1,129.0,1,38,37,6,6
1,1,1,9147,1,1,131.0,1,38,38,9,9
1,17,2,9238,1,1,133.0,1,1,37,7,9
1,1,3,9238,1,1,125.0,1,19,1,9,10
1,39,1,8014,0,1,120.0,1,1,19,6,8
1,1,1,9670,1,1,128.0,1,19,1,4,1
1,1,1,9500,1,1,127.0,1,19,37,9,7
1,1,2,9500,1,1,134.0,1,19,19,9,9
1,17,5,9853,1,1,132.0,1,12,12,4,4
1,17,2,9670,1,1,124.0,1,1,19,5,4
1,17,1,9773,1,1,133.1,1,19,37,7,7
3,39,1,9003,1,1,170.0,1,1,37,6,6
1,17,3,9238,1,1,125.0,1,19,19,7,8
1,39,1,9500,1,3,130.0,1,2,2,1,1
1,43,1,9238,1,1,125.0,1,19,19,4,8
1,39,1,9085,1,1,130.0,1,37,19,9,7
1,17,2,9556,1,1,133.1,1,37,37,3,10
1,17,1,9500,1,1,131.0,1,2,38,4,5
1,42,1,8014,0,1,150.0,1,19,2,4,6
1,17,2,9254,1,1,125.0,1,37,37,9,8
1,1,1,9670,1,1,131.0,1,37,37,9,9
1,39,1,9853,1,1,130.0,1,37,19,9,5
1,1,2,9500,1,1,123.0,1,34,34,90,90
1,1,5,9853,1,1,141.0,1,37,19,9,5
1,7,1,9500,1,3,140.0,1,1,1,9,5
1,43,1,9853,1,1,140.0,1,3,1,3,3
1,44,1,9991,0,39,140.0,1,37,19,9,8
1,39,1,9773,1,19,133.1,1,19,19,3,4
1,18,3,9070,1,1,131.0,1,1,37,5,5
1,17,2,9254,1,1,143.0,1,1,19,4,6
1,18,2,9147,1,1,132.0,1,3,3,5,7
1,43,1,9238,1,1,143.0,1,1,37,5,9
1,17,3,9500,1,1,141.0,1,38,1,9,4
1,39,1,9085,1,1,133.1,1,1,19,9,9
1,17,4,9070,1,1,148.0,1,1,3,4,1
1,1,1,9254,1,1,125.0,1,19,38,9,8
1,1,1,8014,0,1,120.0,1,1,37,7,3
1,39,1,9147,1,1,140.0,1,12,3,4,3
1,51,1,9853,1,1,139.0,1,1,1,4,10
1,1,4,9500,1,1,142.0,1,38,38,9,8
1,39,1,9991,0,40,130.0,1,19,1,3,4
1,18,6,9500,1,1,126.0,1,37,37,5,5
1,7,1,9119,1,3,150.0,1,3,2,2,2
1,1,1,9853,1,1,130.0,1,19,19,3,8
1,39,1,9500,1,1,120.0,1,1,3,175,121
1,1,1,9085,1,1,138.0,1,1,1,4,7
1,1,4,9238,1,1,127.0,1,19,19,4,0
1,1,4,9500,1,1,140.0,1,19,19,7,7
1,44,1,9238,1,39,130.0,1,38,38,5,10
1,17,2,9238,1,1,128.0,1,19,37,9,8
1,1,1,9238,1,1,132.0,1,34,34,0,0
1,1,2,9500,1,1,149.0,1,19,38,9,9
1,1,4,9773,1,1,155.0,1,3,19,1,4
1,1,1,9085,1,1,120.0,1,19,1,8,7
1,39,1,9254,1,19,133.1,1,3,19,2,3
1,1,2,9500,1,1,131.0,1,38,1,7,4
1,1,1,9500,1,1,149.0,1,37,37,9,9
1,43,1,9130,1,1,140.0,1,1,3,9,2
1,39,1,9991,0,1,133.1,1,37,37,9,9
1,43,1,9773,1,1,122.0,1,1,1,4,5
1,39,1,9556,1,40,130.0,1,1,1,4,5
1,18,1,9147,1,1,121.0,1,19,3,5,5
1,39,1,8014,0,1,120.0,1,19,37,8,7
1,39,1,8014,0,1,133.1,1,1,19,5,4
1,17,1,9085,1,1,121.0,1,19,37,1,3
1,1,1,9147,1,1,133.0,1,38,38,7,7
2,1,4,9853,1,1,134.0,1,37,37,5,7
1,1,3,9254,1,1,115.0,1,1,1,3,3
1,51,1,9500,1,1,127.0,1,19,1,5,9
1,18,1,9500,1,1,135.0,1,1,38,4,5
2,7,1,9991,0,43,140.0,1,40,5,3,3
2,7,1,9147,1,3,130.0,1,1,4,3,10
1,1,1,9238,1,1,135.0,1,1,1,9,9
1,39,2,9670,1,1,140.0,1,34,34,0,0
1,43,1,9500,1,1,120.0,1,1,1,5,8
1,1,2,9254,1,1,140.0,1,1,37,4,5
1,39,1,9254,1,3,133.1,1,19,19,4,6
1,1,2,9670,1,1,135.0,1,1,3,4,3
1,1,1,9254,1,1,123.0,1,1,37,9,9
1,1,1,9147,1,1,133.1,1,37,1,9,10
1,1,1,9238,1,1,154.0,1,38,37,9,9
1,1,1,9853,1,1,148.0,1,19,19,5,7
1,17,2,9238,1,1,133.0,1,37,37,3,9
1,1,1,9130,1,1,126.0,1,19,1,9,9
1,39,1,9085,1,19,133.1,1,19,19,9,7
1,1,3,9500,1,1,125.0,1,3,1,4,4
1,16,1,171,1,1,145.0,1,3,3,3,3
1,1,2,9147,1,1,118.0,1,37,19,5,5
1,39,1,9147,1,1,120.0,1,37,1,9,1
1,1,1,9147,1,1,127.0,1,38,19,9,10
1,7,1,9500,1,3,130.0,1,19,38,5,3
1,17,3,9500,1,1,129.0,1,19,37,7,6
1,44,1,9003,1,39,130.0,1,37,37,9,10
1,1,3,9254,1,1,121.0,1,19,37,4,7
1,1,1,9670,1,1,136.0,1,19,1,9,8
1,1,3,9070,1,1,125.0,1,19,38,9,9
1,1,3,9773,1,1,131.0,1,38,37,7,7
1,1,1,9085,1,1,122.0,1,9,19,90,6
1,1,1,9773,1,1,127.0,1,37,37,9,8
1,17,1,9147,1,1,136.0,1,1,1,4,4
2,39,1,9556,1,19,133.1,1,38,37,7,7
1,17,1,9991,0,40,127.0,1,37,37,6,6
1,17,3,9070,1,1,116.0,1,37,37,9,9
1,1,1,9238,1,1,121.0,1,1,1,9,8
1,43,1,9238,1,1,124.0,1,1,1,3,1
1,1,1,9254,1,1,131.0,1,37,38,9,7
1,39,1,8014,0,1,100.0,1,37,37,99,99
1,43,1,9119,1,1,130.0,1,37,38,9,9
1,1,1,9238,1,1,135.0,1,1,1,4,4
1,1,1,9238,1,1,130.0,1,38,19,9,5
1,1,2,9773,1,1,146.0,1,3,1,1,3
1,17,4,9500,1,1,146.0,1,4,1,2,3
1,1,2,9773,1,1,154.0,1,38,38,9,9
1,1,1,9070,1,1,137.0,1,37,37,9,9
1,1,5,9500,1,1,151.0,1,1,1,9,9
1,44,1,9003,1,39,150.0,1,37,38,4,8
1,1,2,9147,1,1,121.0,1,1,19,9,9
1,17,1,9147,1,1,122.0,1,12,19,4,8
1,1,1,9500,1,1,143.0,1,5,1,2,5
1,1,1,9238,1,1,152.0,1,1,38,4,5
1,17,3,9500,1,1,145.0,1,12,1,4,10
1,42,1,9853,1,1,120.0,1,37,38,3,3
2,7,1,9130,1,3,140.0,1,5,4,2,0
1,1,1,9500,1,1,143.0,1,19,19,5,6
1,1,1,9500,1,1,129.0,1,19,19,5,5
1,16,2,9147,1,1,139.0,1,38,37,9,9
4,1,1,8014,0,1,133.1,1,39,19,4,10
2,51,1,9991,0,1,127.0,1,37,37,8,4
1,1,1,9070,1,1,126.0,1,19,37,7,5
1,1,1,8014,0,1,128.0,1,38,38,0,0
2,39,1,9773,1,12,100.0,1,1,1,4,4
1,17,1,9070,1,1,123.0,1,4,37,2,9
1,39,1,8014,0,15,170.0,1,34,1,90,2
1,18,2,8014,0,1,117.0,1,3,1,3,4
1,39,1,9500,1,1,140.0,1,3,3,1,1
1,17,4,9085,1,1,123.0,1,19,19,4,10
1,44,1,9003,1,39,150.0,1,19,37,6,6
1,44,1,9003,1,39,140.0,1,37,37,9,4
1,17,4,9238,1,1,123.0,1,19,19,191,144
1,1,1,9070,1,1,130.0,1,38,37,3,6
2,1,1,9500,1,1,137.0,1,3,38,2,4
1,17,2,9773,1,1,126.0,1,19,38,9,8
1,1,1,9238,1,1,125.0,1,1,1,3,3
1,17,4,9556,1,1,112.0,1,1,1,4,10
1,1,1,9500,1,1,141.0,1,19,38,5,7
1,17,4,9670,1,1,135.0,1,38,38,9,7
1,1,2,9085,1,1,117.0,1,38,37,9,9
1,1,1,9500,1,1,160.0,1,19,19,4,9
1,51,1,9670,1,1,136.0,1,19,19,5,5
1,17,2,9238,1,1,143.0,1,1,11,4,3
1,1,1,9670,1,1,119.0,1,1,19,4,10
1,17,4,9670,1,1,120.0,1,1,19,5,5
1,39,1,9130,1,3,150.0,1,3,1,90,90
1,1,3,9085,1,1,142.0,1,11,11,90,90
1,44,1,9130,1,39,120.0,1,37,37,7,8
1,51,1,9238,1,1,160.0,1,3,19,2,1
1,17,1,9853,1,1,133.1,1,34,34,0,0
1,17,2,9147,1,1,142.0,1,19,19,4,8
1,17,4,9853,1,1,121.0,1,38,38,5,7
1,51,1,9147,1,1,135.0,1,1,1,4,4
1,1,1,9147,1,1,153.0,1,1,38,4,3
1,1,1,9500,1,1,140.0,1,19,19,3,6
1,1,1,9500,1,1,152.0,1,41,19,3,5
1,1,1,9238,1,1,120.0,1,19,38,5,9
1,17,1,9500,1,1,160.0,1,38,38,7,7
1,7,1,9085,1,40,150.0,1,19,19,9,5
1,42,1,9500,1,1,100.0,1,37,37,7,9
1,1,1,9500,1,1,150.0,1,1,1,5,1
1,43,4,9147,1,1,124.0,1,37,37,9,9
1,5,3,9085,1,1,141.0,1,1,19,7,5
1,1,1,9254,1,1,121.0,1,19,19,5,8
1,43,1,9500,1,6,134.0,1,1,37,9,9
1,1,1,9238,1,1,134.0,1,1,1,9,6
1,1,1,9853,1,1,132.0,1,2,19,4,4
1,1,1,9085,1,1,135.0,1,19,38,9,5
1,1,1,9853,1,1,123.0,1,1,38,9,6
1,44,1,9119,1,39,151.0,1,19,37,4,7
1,1,1,9238,1,1,107.0,1,38,38,7,7
1,1,1,8014,0,1,126.0,1,37,38,9,10
1,1,1,9238,1,1,133.0,1,34,37,4,9
1,44,1,9238,1,39,140.0,1,38,37,7,7
1,7,1,9853,1,40,110.0,1,41,3,2,1
1,1,4,9500,1,1,141.0,1,38,38,7,7
1,17,1,9238,1,1,122.0,1,3,1,9,10
1,17,1,9130,1,1,156.0,1,2,9,3,5
1,1,1,9085,1,1,129.0,1,1,2,3,1
1,1,1,171,1,1,188.0,1,3,3,2,2
2,39,1,8014,0,1,120.0,1,37,37,9,9
1,39,1,9003,1,3,130.0,1,3,3,1,2
1,42,1,9147,1,1,130.0,1,37,38,9,1
1,1,1,9773,1,1,140.0,1,19,19,7,5
1,43,1,9238,1,1,110.0,1,37,37,9,9
4,39,1,9991,0,1,133.1,1,37,37,6,6
2,39,1,9238,1,1,120.0,1,37,37,9,9
1,1,2,8014,0,1,96.0,1,3,1,3,9
1,1,1,9254,1,1,117.0,1,19,19,9,9
1,43,1,9773,1,1,123.0,1,19,19,9,8
1,1,4,171,1,1,127.0,1,1,1,9,5
2,1,1,9500,1,1,151.0,1,37,38,9,7
1,1,1,9254,1,1,127.0,1,19,19,4,6
1,17,1,9085,1,1,133.0,1,19,1,4,5
1,39,1,9500,1,19,133.1,1,38,37,9,9
1,39,1,9991,0,1,133.1,1,37,37,90,8
1,39,1,9003,1,1,133.1,1,37,37,3,8
1,39,1,9085,1,43,160.0,1,3,39,2,3
1,17,4,9853,1,1,140.0,1,19,38,4,1
1,1,1,9773,1,1,146.0,1,37,38,9,7
1,17,4,9147,1,1,112.0,1,19,38,9,10
1,53,1,9085,1,42,140.0,1,19,37,9,8
1,1,4,9500,1,1,136.0,1,1,1,9,1
1,1,1,9085,1,1,133.1,1,37,38,7,5
1,1,4,9500,1,1,136.0,1,19,38,4,8
1,17,1,9085,1,1,134.0,1,19,37,2,7
1,1,1,9853,1,1,122.0,1,38,37,191,195
1,1,6,9500,1,1,138.0,1,19,19,9,5
2,43,1,8014,0,1,160.0,1,37,39,9,4
4,39,1,9991,0,1,130.0,1,38,19,9,7
1,17,1,9773,1,1,161.0,1,1,19,4,7
4,39,1,9991,0,1,140.0,1,1,37,141,192
2,39,1,9085,1,19,133.1,1,38,38,4,7
2,51,1,8014,0,19,133.1,1,37,37,9,9
1,18,4,9147,1,1,130.0,1,37,37,9,9
1,1,1,9500,1,1,152.0,1,1,1,4,4
1,17,1,9853,1,1,125.0,1,3,3,3,3
1,44,1,9085,1,39,140.0,1,37,38,5,6
4,39,1,9500,1,19,133.1,1,38,19,5,7
1,43,1,9500,1,1,170.0,1,19,37,8,8
1,1,1,9238,1,1,135.0,1,38,38,5,7
1,1,1,9853,1,1,125.0,1,19,19,5,5
1,53,1,9147,1,42,140.0,1,3,4,2,1
1,1,1,9238,1,1,124.0,1,34,34,0,0
1,1,1,9853,1,1,140.0,1,37,37,9,9
1,39,1,9991,0,3,130.0,1,37,37,9,9
1,17,1,9853,1,1,134.0,1,1,19,4,5
1,44,1,8014,0,39,160.0,1,37,37,7,7
1,44,1,9085,1,39,140.0,1,4,38,4,5
1,39,1,9500,1,1,150.0,1,1,19,5,3
1,1,6,9773,1,1,141.0,1,30,37,7,7
1,17,2,9085,1,1,120.0,1,1,1,9,10
1,17,2,9085,1,1,166.0,1,1,19,4,3
1,1,4,9500,1,1,147.0,1,1,1,4,9
1,51,1,9238,1,1,121.0,1,3,19,3,10
1,44,1,9085,1,39,150.0,1,38,37,4,6
1,17,1,9670,1,1,124.0,1,37,19,5,8
1,17,1,9147,1,1,96.0,1,38,37,6,4
1,17,4,9070,1,1,125.0,1,1,3,3,3
1,17,1,9254,1,1,136.0,1,37,37,7,7
1,1,1,9773,1,1,120.0,1,38,37,9,9
1,1,1,9254,1,1,128.0,1,19,38,9,9
1,17,1,9500,1,1,142.0,1,37,37,5,5
1,1,1,171,1,1,135.0,1,1,19,3,9
1,7,1,9070,1,40,120.0,1,1,19,3,9
1,39,1,9991,0,40,140.0,1,1,19,9,9
1,17,1,9238,1,1,135.0,1,1,19,4,4
4,39,1,9085,1,1,133.1,1,34,34,0,0
1,1,2,9500,1,1,137.0,1,19,19,7,7
1,39,1,9500,1,3,122.0,1,19,1,4,8
1,1,3,9500,1,1,128.0,1,1,1,4,10
1,7,1,9991,0,40,140.0,1,37,37,6,6
1,1,1,9238,1,1,132.0,1,1,38,9,7
1,1,1,9085,1,1,131.0,1,37,37,90,90
1,1,1,9085,1,1,126.0,1,1,1,9,9
1,1,1,9853,1,1,133.1,1,19,19,9,9
1,1,4,9500,1,1,136.0,1,37,37,9,9
1,1,4,9500,1,1,140.0,1,1,19,4,5
1,1,1,9500,1,1,135.0,1,2,1,2,8
1,42,1,9991,0,1,160.0,1,1,2,4,3
1,44,1,9085,1,39,140.0,1,1,2,4,6
1,1,6,9500,1,1,140.0,1,3,1,3,3
1,17,6,9556,1,1,115.0,1,19,2,5,3
1,1,1,9500,1,1,144.0,1,37,37,9,3
1,1,4,9670,1,1,128.0,1,38,38,3,7
1,17,1,9147,1,1,116.0,1,38,2,9,2
3,1,2,9085,1,1,135.0,1,19,1,4,4
1,17,1,9670,1,1,121.0,1,19,38,4,10
1,1,3,9500,1,1,134.0,1,37,38,9,9
1,39,1,8014,0,1,120.0,1,37,37,7,8
1,17,2,9147,1,1,125.0,1,38,38,6,8
1,1,1,9500,1,1,141.0,1,1,1,90,3
1,1,1,9773,1,1,140.0,1,1,19,4,8
1,1,6,9500,1,1,144.0,1,19,19,5,5
1,17,1,9254,1,1,122.0,1,19,19,5,5
1,1,1,9670,1,1,130.0,1,19,37,4,5
1,1,5,9670,1,1,133.1,1,9,1,2,4
2,39,1,9500,1,19,133.1,1,37,37,9,9
1,43,1,9556,1,1,147.0,1,3,4,3,2
1,43,1,9130,1,1,127.0,1,19,38,4,5
1,17,6,9500,1,1,136.0,1,19,38,9,3
1,1,5,9500,1,1,127.0,1,19,19,7,8
1,17,1,9670,1,1,123.0,1,19,19,1,1
1,1,1,9238,1,1,128.0,1,37,19,9,3
1,1,1,9500,1,1,128.0,1,3,1,2,1
1,1,2,9500,1,1,140.0,1,1,19,7,7
1,1,2,9773,1,1,121.0,1,1,19,9,7
1,1,3,9254,1,1,122.0,1,19,38,3,10
1,18,1,9500,1,1,126.0,1,38,37,5,5
1,1,4,9500,1,1,135.0,1,37,37,9,8
1,1,2,9500,1,1,131.0,1,19,19,7,5
1,17,4,9085,1,1,140.0,1,19,37,4,7
1,1,3,9147,1,1,131.0,1,19,38,9,7
2,39,1,8014,0,1,130.0,1,34,34,99,99
1,7,1,9003,1,3,130.0,1,38,37,5,6
1,43,1,9853,1,1,140.0,1,37,19,9,8
2,39,1,9003,1,1,130.0,1,1,19,4,9
1,17,1,9773,1,1,125.0,1,37,37,5,7
1,1,1,9130,1,1,160.0,1,3,3,3,2
1,51,1,9070,1,1,130.0,1,19,19,5,7
1,17,1,9238,1,1,144.0,1,3,1,2,3
1,39,1,9147,1,19,133.1,1,3,1,3,5
1,17,1,9238,1,1,148.0,1,1,1,4,9
1,43,1,8014,0,1,133.1,1,3,3,2,3
1,1,1,9853,1,1,133.0,1,1,38,5,10
1,43,6,9238,1,1,129.0,1,34,34,0,0
1,1,5,9500,1,1,144.0,1,19,38,4,8
1,17,1,9238,1,1,120.0,1,37,37,4,9
1,17,3,9500,1,1,144.0,1,1,37,9,9
1,1,1,9254,1,1,132.0,1,19,38,9,7
1,1,1,9670,1,1,142.0,1,38,19,7,10
1,1,2,9500,1,1,136.0,1,19,19,9,9
1,39,1,9254,1,9,133.1,1,34,34,0,0
1,1,1,9670,1,1,122.0,1,1,19,3,5
1,1,2,9556,1,1,133.1,1,19,19,9,9
1,7,1,9500,1,3,140.0,1,34,34,0,0
1,1,1,9500,1,1,117.0,1,3,1,3,3
1,17,1,9238,1,1,128.0,1,38,19,191,175
1,1,1,9500,1,1,136.0,1,1,1,4,4
1,18,6,9500,1,1,141.0,1,1,19,1,1
1,1,3,9500,1,1,130.0,1,3,1,2,5
1,44,1,9085,1,39,140.0,1,38,38,9,7
1,1,3,9500,1,1,102.0,1,1,19,9,5
1,17,1,9853,1,1,126.0,1,1,37,7,9
1,43,2,9670,1,1,125.0,1,38,19,4,3
1,39,1,9670,1,1,120.0,1,1,19,5,4
1,17,3,9500,1,1,132.0,1,37,37,9,7
1,1,3,9500,1,1,128.0,1,38,38,5,5
1,1,1,9070,1,1,115.0,1,19,1,3,8
1,1,1,9670,1,1,125.0,1,37,37,5,5
1,1,6,9500,1,1,137.0,1,1,3,3,2
1,1,1,9085,1,1,101.0,1,37,37,9,4
1,1,1,9853,1,1,126.0,1,3,1,2,5
1,7,3,9130,1,3,130.0,1,19,37,90,5
1,39,1,9556,1,19,100.0,1,37,38,9,9
1,17,1,9254,1,1,122.0,1,1,19,4,3
1,17,1,9070,1,1,126.0,1,19,38,9,7
1,17,1,9500,1,1,128.0,1,38,38,7,7
1,17,3,9085,1,1,134.0,1,37,38,9,9
1,17,2,9254,1,1,128.0,1,38,38,9,9
1,1,1,9070,1,1,125.0,1,1,1,4,4
1,7,2,9085,1,3,130.0,1,3,3,1,1
1,1,2,9500,1,1,135.0,1,37,1,7,7
1,39,1,9500,1,19,133.1,1,37,38,151,161
1,39,1,33,1,1,140.0,1,3,1,2,4
1,1,2,9773,1,1,138.0,1,19,1,9,3
1,1,1,9130,1,1,150.0,1,5,5,2,2
1,1,2,9147,1,1,125.0,1,1,19,4,6
1,1,2,9070,1,1,121.0,1,4,1,2,3
2,39,1,8014,0,1,120.0,1,34,34,99,99
1,39,2,9670,1,1,140.0,1,34,34,0,0
